Unnamed: 0,"N [12,18)","% [12,18)","N [18,45)","% [18,45)","N [45,65)","% [45,65)","N [65,80)","% [65,80)","N [80,Inf)","% [80,Inf)",total,% total
2020-51,0,0.0,2,0.0119932837610938,1,0.00672494956287828,0,0.0,3,0.101694915254237,6,0.0124064348041851
2020-52,0,0.0,10,0.0599664188054689,11,0.0739744451916611,17,0.255140327179949,65,2.20338983050847,103,0.212977130805178
2021-00,0,0.0,12,0.0719597025665627,13,0.0874243443174176,17,0.255140327179949,66,2.23728813559322,108,0.223315826475332
2021-01,0,0.0,150,0.899496282082034,212,1.4256893073302,43,0.645354945219871,163,5.52542372881356,568,1.17447582812952
2021-02,0,0.0,365,2.18877428639962,444,2.98587760591796,59,0.885487017859823,172,5.83050847457627,1040,2.15044869939208
2021-03,0,0.0,441,2.64451906932118,541,3.63819771351715,80,1.20066036319976,215,7.28813559322034,1277,2.6405028741574
2021-04,0,0.0,465,2.78843847445431,563,3.78614660390047,85,1.27570163589974,218,7.38983050847458,1331,2.75216078739506
2021-05,0,0.0,503,3.01631086591509,588,3.95427034297243,85,1.27570163589974,218,7.38983050847458,1394,2.88242835283901
2021-06,1,0.013883104262113,650,3.89781722235548,721,4.84868863483524,95,1.42578418129971,221,7.49152542372881,1688,3.49034365824408
2021-07,2,0.027766208524226,804,4.8213000719597,926,6.22730329522529,125,1.87603181749962,241,8.16949152542373,2098,4.33811670319672
2021-08,3,0.041649312786339,1088,6.52434636603502,1168,7.85474108944183,243,3.64700585321927,549,18.6101694915254,3051,6.30867209792813
2021-09,3,0.041649312786339,1313,7.87359078915807,1294,8.70208473436449,279,4.18730301665916,790,26.7796610169492,3679,7.6072122740995
2021-10,3,0.041649312786339,1507,9.03693931398417,1417,9.52925353059852,301,4.5174846165391,893,30.271186440678,4121,8.52115297134113
2021-11,3,0.041649312786339,1530,9.17486207723675,1446,9.72427706792199,313,4.69758367101906,945,32.0338983050847,4237,8.76101071088871
2021-12,3,0.041649312786339,1575,9.44471096186136,1823,12.2595830531271,508,7.62419330631847,1231,41.728813559322,5140,10.6281791489186
2021-13,4,0.055532417048452,1613,9.67258335332214,2361,15.8776059179556,777,11.6614137775777,1970,66.7796610169491,6725,13.9055456763575
2021-14,4,0.055532417048452,1639,9.82849604221636,2804,18.8567585743107,1479,22.1972084646556,2602,88.2033898305085,8528,17.6336793350151
2021-15,5,0.069415521310565,1667,9.99640201487167,3066,20.6186953597848,2751,41.2877082395317,2671,90.5423728813559,10160,21.0082296017534
2021-16,5,0.069415521310565,1702,10.2062844806908,3187,21.4324142568931,3423,51.3732552904097,2697,91.4237288135593,11014,22.7740788222158
2021-17,5,0.069415521310565,1735,10.4041736627489,3309,22.2528581035642,4422,66.3665015758667,2715,92.0338983050847,12186,25.1974690872999
2021-18,5,0.069415521310565,1759,10.548093067882,3841,25.8305312710155,5410,81.1946570613838,2725,92.3728813559322,13740,28.4107357015839
2021-19,5,0.069415521310565,1805,10.8239385943871,5423,36.4694014794889,5674,85.156836259943,2737,92.7796610169491,15644,32.3477110127786
2021-20,6,0.0832986255726781,1912,11.4655792756057,6795,45.6960322797579,5759,86.4325378958427,2737,92.7796610169491,17209,35.5837227575369
2021-21,7,0.0971817298347911,1951,11.699448308947,7636,51.3517148621385,5816,87.2880084046225,2742,92.9491525423729,18152,37.533600760928
2021-22,7,0.0971817298347911,2048,12.28112257136,8478,57.014122394082,5854,87.8583220771424,2747,93.1186440677966,19134,39.5641205905463
2021-23,12,0.166597251145356,2297,13.7742863996162,10222,68.7424344317418,5897,88.5036770223623,2750,93.2203389830508,21178,43.7905793805054
2021-24,19,0.263778980980147,3649,21.8817462221156,11207,75.3665097511769,5954,89.3591475311421,2752,93.2881355932203,23581,48.7593565195815
2021-25,27,0.374843815077051,4944,29.6473974574238,11589,77.9354404841964,5986,89.839411676422,2753,93.3220338983051,25299,52.3117323518465
2021-26,50,0.69415521310565,6499,38.9721755816743,11886,79.9327505043712,6014,90.259642803542,2755,93.3898305084746,27204,56.2507754021753
2021-27,162,2.24906289046231,7601,45.5804749340369,12035,80.9347679892401,6030,90.4997748761819,2755,93.3898305084746,28583,59.1021876680038
2021-28,214,2.97098431209218,8444,50.635644039338,12158,81.7619367854741,6044,90.7098904397419,2756,93.4237288135593,29616,61.2381621934577
2021-29,308,4.27599611273081,9069,54.3835452146798,12258,82.4344317417619,6055,90.8749812396818,2758,93.4915254237288,30448,62.9585211529713
2021-30,475,6.59447452450368,9865,59.1568721515951,12368,83.1741761936785,6064,91.0100555305418,2760,93.5593220338983,31532,65.1999503742608
2021-31,1341,18.6172428154935,10635,63.7742863996162,12464,83.8197713517149,6074,91.1601380759418,2761,93.5932203389831,33275,68.8040196848766
2021-32,2816,39.0948216021102,11083,66.4607819621012,12583,84.6200403496974,6079,91.2351793486418,2762,93.6271186440678,35323,73.0387494313717
2021-33,3469,48.16048868527,11356,68.0978651954905,12690,85.3396099529254,6088,91.3702536395017,2764,93.6949152542373,36367,75.1974690873
2021-34,3825,53.1028738025823,11513,69.0393379707364,12762,85.8238063214526,6092,91.4302866576617,2767,93.7966101694915,36959,76.4215706546462
2021-35,4225,58.6561155074275,11691,70.1067402254737,12809,86.1398789509079,6099,91.5353444394417,2767,93.7966101694915,37591,77.7283817873537
2021-36,4605,63.9316951270304,11870,71.1801391220916,12841,86.35507733692,6101,91.5653609485217,2768,93.8305084745763,38185,78.956618832968
